question,answer,category
the nationality + the citizenship,la nationalité + la citoyenneté,vocabulary
U.S. nationality + French nationality,la nationalité états-unienne + la nationalité française; The adjective for 'American' when you want to specify United States: états-unien(e) OR étasunien(e),vocabulary
What is your nationality?,Quelle est votre/ta nationalité?; nationalité is feminine so Quelle and votre/ta must agree with it.,conversation
I am American.,Je suis américain (m) / américainne (f).; the 'n' is pronounced very lightly and only in the feminine version.; Names of countries are capitalized in French. Names of nationalities and languages are not capitalized in French. But when you use a noun that refers to a person then you capitalize: La Française... = the french woman...,conversation
You are French.,Tu es français (m) / française (f).; masculine pronounced 'fran-say'; feminine pronounced 'fran-seZ'; Names of countries are capitalized in French. Names of nationalities and languages are not capitalized in French. But when you use a noun that refers to a person then you capitalize: La Française... = the french woman...,conversation
a french man + a french woman + the french people,le Français + la Française + les Français; One of the only times that you capitalize these kinds of descriptors is when you use them as a noun that refers to a person. Otherwise français(e) is an adjective that is not capitalized. e.g. Il est français. Elle parle français.,conversation
How is the name of a language related to nationality?,There are masculine and feminine versions of every nationality. The language is always the masculine version.; e.g. Il est allemand. Elle est allemande. Elle parle allemand.; 'allemand' is how you translate German when you mean the language.; BUT the word for language is feminine (la langue). So if you want to say the entire phrase 'the german language' then it is a feminine noun with a feminine adjective: la langue allemande.,conversation
a french/argentine passport,un passport français/argentin; Un visa is also masculine.,conversation
the confirmation of citizenship in France (if you were not born there),la naturalisation; alternative: la acquisition de la nationalité,vocabulary
the right of citizenship if you are born in France,le droit du sol,vocabulary
I am French-American.,Je suis franco-américain(ne).; Regardless of whether you were born French or American... the order of this combination is always franco + americain(ne).; Alternative: Je suis de nationalité française et américaine.,vocabulary
I do not come from Paris.,Je ne viens pas de Paris.; To make a statement negative: Add NE directly after the subject (pronouns never come between the subject and NE). Then add PAS after the conjugated verb (or the auxiliary in the case of passé composé).,conversation
I do not live in Berlin.,Je n'habite pas à Berlin.; If the verb starts with a vowel or the first pronounced sound is a vowel (no 'h' in france) then use N' instead of NE.,conversation
I have family in Sweden.,J'ai de la famille en Suède.; AVOIR + 'de la famille' is an idiomatic way of expressing that some of your family is in a location.,conversation
I don't see well.,Je ne vois pas bien.; Adding pas to an adjective totally negates it and makes it negative instead of neutral. e.g. pas parfait = the opposite of perfect; Remember that when you use negation NE is optional especially when spoken.,conversation
I speak English.,Je parle ('shhhhhhparl') anglais. OR Je parle en anglais. Either is correct - like in english (I speak English. OR I speak in English.); NB: In french we always use an article in front of noun. Speaking a language (using the verb parler) is the only exception. When using parler we do not say/write... Je parle l'anglais. But any other time you use the name of a language (or any other noun) then you always add an article in front of it.,conversation
I do not speak Mandarin.,Je ne parle pas mandarin.; Names of countries are capitalized in French. Names of nationalities and languages are not capitalized in French.,conversation
I speak a little Spanish + French + German.,Je parle ('shhhhhparl') un peu espagnol et français et allemand.; JE is pronounced slowly as a long 'shhhh' sound. But you must avoid making it a separate syllable. It's not 'shuh-parl'. It's 'shhhhhparl'.,conversation
a french class + a dance class, un cours de français + un cours ('koohr') de dance;  NB: cours looks plural ending in S but it is singular.; Do not use 'classe' for this. Une classe refers to class heirarchy (e.g. 1st class) or the specific time that you are in school.,vocabulary
I go to french class. + I take a french class.,Je vais EN cour de français. + Je prends ('shhhhhpruh') un cours de français.; Do not use à for going to class. That is used for going to a city etc. - somewhere you visit.,vocabulary
a french A2 class,un cours du A2; 'french' is understood,vocabulary
a class + a race + a yard; Specify pronunciation.,All of these words sound similar but have different meanings.; un cours ('koohr') = a class / a course of action / an errand; une course ('coors') = a race; une cour ('coor') = a yard / a courtyard; la compétition de course à pied = the foot race,vocabulary
a messenger / a courier,un corsier,vocabulary
the level + the levels,le niveau + les niveaux; e.g. mon niveau de français = my level of french,vocabulary
a skill + a high level of skill,une compétence + un haut niveau de compétence,vocabulary
a collection of deep skills,un ensemble de compétences approfondies,vocabulary
a higher level,un niveau supérieur; NOT plus haut,vocabulary
of high quality,une qualité élevée OR De haute qualité,vocabulary
a class at a good level (for me),un cours À un bon niveau,vocabulary
at most + at least,(tout) au plus + au moins,vocabulary
at least one month; Specify the pronunciation.,au moins (very nasal 'mwah') un mois (non-nasal 'mwah'); Literally the only difference between the sound of moins and mois is the nasality of the vowel. Adding the N to the OI changes it from a sound in the mouth to a sound in the nasal cavity.,pronunciation
some + several,certaines + plusieurs,vocabulary
When some people... and other people...,Quand certaines personnes... et d'autres personnes...,vocabulary
a bit + a little bit,un peu + un petit peu; These are quantities so they are always followed by the generic preposition DE/D' and without any article. e.g. un peu d'information (NOT des informations),vocabulary
a lot / many,beaucoup; If you use beaucoup as a quantity (e.g. a lot of fish / many fish) then you must add the generic preposition DE/D' (without articles)between beaucoup and the object of the preposition (e.g. beaucoup de poisson). Omit articles completely because we are expressing a quantity.; If you use beaucoup to modify a verb (e.g. We drank a lot.) then it is an adverb and must come before the verb (e.g. Nous avons beaucoup bu.).,vocabulary
There are a lot of hospitals and cliniques in this city.,Il y a beaucoup D'hôpitaux et DE cliniques à cette ville.; When there are two or more nouns (hospitals and cliniques) that refer to the same quantity (many / a lot of) then all of the nouns must be prefaced by the generic DE.,vocabulary
in many cases...,dans de nombreux cas...; numerous = nombreux (pl masc) /  nombreuses (pl fem); This works like beaucoup in that it triggers the generic DE (like a quantity).; Both of these are plural adjectives. There is no way for this adjective to be singular.; You can only use the feminine form (nombreuses) if ALL of the items are feminine.,vocabulary
How do you pronounce: Il y a ('eeyah') cinq chaises.,In conversation Il Y A is shortened to 'eeyah'.,pronunciation
not much (like when someone asks you what you have been doing and there is little to report),pas grand chose OR rien d'especial; e.g. Je n'ai pas fait grand chose. / J'ai fait rien d'especial.; Do not use the phrase 'pas beaucoup' - this does not make sense in french.,vocabulary
nothing extravagant,rien d'extravagant,vocabulary
too much + too much money,trop ('troh') + trop D'argent; (like beaucoup) Trop is a quantity and it can be used on it's own.; When used as a quantity then it is always followed by the generic DE (without articles).,vocabulary
There are too many of them.,Il y EN a trop.; When you specify of what there is too much then you use DE (e.g. trop de bouteilles). So when you do not specify the noun then you replace it with pronom EN.,vocabulary
extra; Specify pronunciation.,supplémentaire ('soo-play-mOH-tehr'); EN is a nasal 'ohn' sound but the N is silent.; e.g. une semaine supplémentaire = an extra week,vocabulary
so nice,tellement gentil(e) OR si gentil(e); Tellement and Si are the words that add emphasis like 'so' in english.; There is no preposition required if it proceeds an adjective or adverb.,vocabulary
so much (stuff),tellement DE choses OR si de choses; Tellement and Si are the words that add emphasis like 'so' in english.; You must add DE if it proceeds a noun. You must explicitly state the object (choses).,vocabulary
so many activities,tellement D'activités OR si d'activités; Tellement and Si are the words that add emphasis like 'so' in english.; You must add DE if it proceeds a noun. You must explicitly state the object (activités).,vocabulary
idiomatic way to say: She's very very (sooooo) nice etc. (any adjective).,Elle est tellement agréable.; Tellement is the word that adds emphasis like 'so' in english.,vocabulary
I do quite a lot of things.,Je fais pas mal de chose.; NB: 'pas mal' can mean not bad but it can also mean quite a lot.,vocabulary
She eats apples. Which word is assumed in English but cannot be assumed in French?,Elle mange DES pommes.; Partitive article is the name for the word that describes an uncountable or unknown (an undefined) quantity of something. (This is different from a defined or specified quantity like beaucoup DE X.) In this example the partitive article is 'some' and it is optional in English. She eats (some) apples. But in French the partitive article is never optional.,vocabulary
What are the partitive articles in French?,These are contractions of DE + an article (le/la/les) that are used in front of any undefined (or unknown or uncountable) quantity (e.g. J'ai DES frais. = I have strawberries.). The partitive articles are: du/d' (masculine) + de la/de l' (feminine) + des/d' (plural); This is different from the generic DE that is used for defined quantities (including lack of something). e.g. un peu D'huile + pas DE pommes.,vocabulary
Is there (some/any) coffee / onion?,Est-ce qu'il y a DU café / D'oignon?; When the quantity is undefined use the partitive articles (du / de la / des) instead of the generic de.; These nouns are masculine so we use DU. DU contracts to D' when the noun starts with a vowel.,vocabulary
Is there (some/any) meat / water?,Est-ce qu'il y a DE LA viande / DE L'eau?; When the quantity is undefined use the partitive articles (du / de la / des) instead of the generic de.; These nouns are feminine so we use DE LA. LA contracts to L' when the noun starts with a vowel.,vocabulary
Are there (some/any) lemons / onions?,Est-ce qu'il y a DES citrons / DES oignons?; When the quantity is undefined use the partitive articles (du / de la / des) instead of the generic de.; The gender of the plural noun does not matter. DES never contracts when the noun starts with a vowel because DES ends with a consonant.,vocabulary
the water,l'eau; eau is feminine. But la eau contracts to l'eau to avoid back-to-back vowels.; This is pronounced really strongly 'loh'.; -eau is pronounced as a strong 'oh' - like the words chateau and bateau.,vocabulary
two glasses of water (explain the pronunciation difference),deux verre D'eau; The O sound in deux is higher in the mouth. The O sound in d'eau is lower in the mouth; d'eau = DE + EAU. Use generic DE + EAU (instead of de + la + eau) because verre is a specified quantity.,vocabulary
The water is good. + a glass of water +  + I drink water.,These exhibit the three different ways to talk about water.; 1) L'eau est bonne. = The water is good. We are using the noun with its article (LA contracts to L').; 2) un verre d'eau = a glass of water. The glass is a specified quantity so we use the generic DE without anarticle. (DE contracts to D'.); 3) Je bois DE l'eau. = I drink water. The verb BOIRE is always followed by DE but it is not a quantity indicator. So you also have to give the object of the verb (water) it's article (la). DE + LA + EAU = de l'eau.,vocabulary
She eats a lot. + She ate a lot.; Note the location of 'beaucoup' in both cases.,Elle mange beaucoup. + Elle a beaucoup mangé.; If beaucoup describes the verb (manger) - as it does in both of these sentences - instead of the object (e.g. beaucoup DE frais)... then beaucoup must follow the conjugated portion of a verb. That means that 'beaucoup' falls between the two parts of passé composé in this case.,vocabulary
You (informal) eat a lot of apples.; Which preposition is required?,Tu manges beaucoup DE pommes.; 'A lot' in this case does not modify the verb (manger) here. It describes the quantity of apples (just like 'a kilo'). When quantity is specified use the generic DE (instead of partitive articles).,vocabulary
He ate a lot. + He ate a lot of apples.; Note the location of 'beaucoup' in both cases.,Il a BEAUCOUP mangé. + Il a mangé BEAUCOUP de pommes.; Both examples are passé composé so there are two parts to the verbs. In the first case BEAUCOUP modifies the verb (manger) so it must follow the conjugated portion of the two-part verb. In the second case BEAUCOUP modifies the object (pommes) so it must be placed after the entire verb.,vocabulary
There is coffee. + There is a box of coffee.,Il y a DU (de + le) café. + Il y a un carton DE café. (le café); The former has an undefined quantity so we use the partitive article DU (de + le) for the masculine café.; The latter has a defined quantity so we use generic DE.,vocabulary
There is salad + There is a pack of salad.,Il y a DE LA salade. + Il y a un paquet DE salade. (la salade); The former has an unspecified amount so we use the partitive article DE LA for the feminine salade.; The latter has a specified amount/quantity so we use generic DE.,vocabulary
There is a jar of strawberry jam.,Il y a un pot DE confiture de fraise. (la confiture); The quantity is defined so use the generic DE (or D').,vocabulary
There are a dozen cookies.,Il y a une douzaine DE biscuits. (les biscuits); The quantity is defined so use the generic DE (or D').,vocabulary
There is a handful of blueberries.,Il y a une poignée DE myrtilles (les myrtilles); The quantity is defined so use the generic DE (or D').,vocabulary
group words for: a dozen + a set of roughly 10 (tens),une douzaine ('doo-zehn') + une dizaine ('dee-zehn'); e.g. des dizaines de personnes = tens of individuals; If you want to communicate something that is greater than 10 and less than 100 then you could say: plusieurs dizaines = several tens (30 or 40 or 50 etc).,vocabulary
a decade,une décennie,vocabulary
approximately 10 years,une dizaine d'années; une dizaine is the group word for roughly 10 - similar to a dozen (une douzaine) for 12.,vocabulary
a set of roughly 100 (hundreds) + a set of roughly 1000 (thousands),une centaine ('son-tehn') + un millier ('mee'lyay'); e.g. des centaines de milliers de cuillères = hundreds of thousands of spoons,vocabulary
You have blue eyes. + You have beautiful eyes.; Explain what happens to the partitive article.,Tu as DES yeux bleus. + Tu as DE beaux yeux.; Beaux is an irregular adjective becuase it is placed before the noun. When we place an adjective before a noun...the plural partitive article (des = de + les) changes to a generic preposition (de) and the article is dropped completely.,vocabulary
Three ways to say: There are no apples.,1) Il n'y a pas DE pommes. = There are no apples. 2) Il n'y a plus DE pommes. = There are no more apples. 3) Il n'y a zero DE pommes. = There are zero apples.; In all three cases the quantity is defined in some way (negative qualities are still defined). So we must use the generic DE instead of partitive articles (du / de la / des).,vocabulary
There is milk. + There is no milk. + There is only milk.,Il y a DU lait. + Il n'y a pas DE lait. + Il n'y a que DU lait.; In the first and third phrases the quantity is undefined so use partitive article DU for masculine lait. In the second phrase the quantity is negative (which is defined) so use the generic DE lait.; NE + PAS = none; NE + QUE = only,vocabulary
There is oil. + There is no oil. + There is only oil.,Il y a DE L'huile. + Il n'y a pas D'huile. + Il n'y a que DE L'huile.; In the first and third phrases the quantity is undefined so use partitive article DE LA for feminine huile. In the second phrase the quantity is negative (which is defined) so use the generic D'huile (contract DE because the object starts with a non-aspirational H).; NE + PAS = none; NE + QUE = only,vocabulary
There are eggs. + There are no eggs. + There is only eggs.,Il y a DES œufs. ('dez-oo'; fs is silent) + Il n'y a pas D'œufs. +  Il n'y a que DES œufs.; In the first and third phrases the quantity is undefined so use partitive article DES for plural œufs. In the second phrase the quantity is negative (which is defined) so use the generic D'œufs.; NE + PAS = none; NE + QUE = only,vocabulary
It's only ... (e.g. It's only one day.),Ce N'est QUE... (e.g. Ce n'est qu'un jour.); This is a very idiomatic way of speaking. It looks like QUE replaces PAS but that is not what is happening because this is not a negative statement. Generally if you omit PAS then negation does not occur.; que + un = qu'un (pronounced 'kahn' not 'koon') because QUE contracts.; C'est seulement... is an alternative but less idiomatic.,vocabulary
It's ONLY 30 minutes.,Ce N'était QUE 30 minutes.; NE + QUE emphasises... ONLY a friend. It looks like QUE replaces PAS but that is not what is happening because this is not a negative statement. Generally if you omit PAS then negation does not occur.,vocabulary
He/she is ONLY a friend.,Ce N'est QU'un ami.; NE + QUE emphasises... ONLY a friend.  It looks like QUE replaces PAS but that is not what is happening because this is not a negative statement. Generally if you omit PAS then negation does not occur.; Use CE instead of il/elle. This is an idiomatic phrase.; que + un = qu'un (pronounced 'kahn' not 'koon') because QUE contracts.,vocabulary
Jean has (some) money. + Jean has no money.,Jean a DE L'argent. + Jean n'a pas D'argent.; In the first phrase the quantity is undefined so use partitive article DE LA for the feminine argent. In the second phrase the quantity is negative (which is defined) so use the generic DE.,vocabulary
I play sports. + I do not play sports.,Je fais DU sport. + Je ne fais DE sport.; In the first phrase the quantity is undefined so use partitive article (de + le = DU sport); In the second phrase the quantity is negative (which is defined) so use the generic DE.,vocabulary
In futur proche: We are going to play tennis. + We are not going to play tennis.,On va faire DU tennis. + On ne va pas faire DE tennis.; PAS is being used as an adverb to negate the verb. So we must respect the use of the generic DE when the verb is negated. This is contrasted with the use of the partitive article (de + le = DU) when the verb is not negated.; Remember that when you use negation NE is optional especially in spoken french.,vocabulary
She likes talking with clients. + She does not like talking with clients.,Elle aime bien parler avec DES clients. + Elle n'aime pas parler avec DES clients.; In both cases we use the partitive articles (du / de la / des) - instead of the generic DE - because the clients are sequestered away from the verb in a prepositional clause ('with the clients'). When we negate the sentence by using PAS as an adverb the prepositional phrases are not impacted by the negation.,vocabulary
We respond to emails. + We do not respond to emails.,Nous répondons AUX e-mails. + Nous ne répondons pas AUX e-mails.; In both cases we use the partitive article (au / à la / aux) - instead of the generic DE - because the emails are sequestered away from the verb in a prepositional clause ('to the emails'). When we negate the sentence by using PAS as an adverb the prepositional phrases are not impacted by the negation.,vocabulary
We are professors. + We are not professors.,Nous sommes (des) professeurs. + Nous ne sommes pas (des) professeurs.; In this case we do not use the generic DE before the object (professeurs) when the phrase is negated because we are using PAS as an adjective (literally: We are no professors.) - not as an adverb.; It's helpful to memorize: When a noun follows the verb ÊTRE...and when the statement is negated... then we do NOT change from a partitive article (le/la/les or un/une/des) to a non-partitive article (de/d').,vocabulary
You are an actor. + You are not an actor.,Tu est (un) acteur. + Tu n'est pas (un) acteur.; In this case we do not place the generalized DE before the object because we are using PAS as an adjective (literally: You are no actor.).; It's helpful to memorize: When a noun follows the verb ÊTRE...and when the statement is negated... then we do NOT change from a partitive article (le/la/les or un/une/des) to a non-partitive article (de/d').,vocabulary
We find a place to park a car. + We do not find a place.,On trouve un endroit pour garer une voiture. + On ne trouve pas D'endroit.; The second phrase is negated by using PAS as an adverb. So we must use the generic DE (not d'un endroit or du endroit.).,vocabulary
We risk finding a monster. + We risk not finding a place.,On risque de trouver un monstre. + On risque NE PAS trouver D'endroit.; When the infinitive verb is negated (instead of the conjugated verb) then place both NE and PAS directly before the infinitive verb.; When a statement is negated by using PAS as an adverb then we must replace partitive articles with the generic DE (even if the negated verb is in the infinitive form).,vocabulary
If he leaves now... he risks losing his money.,S'il part maintenant... il risque DE perdre son argent.; The formula is: subject + RISQUER (conjugated) + DE + INFINITIVE.,vocabulary
If I do not study... I risk failing the exam.,Se je n'étudie pas... je risque D'échouer l'examen.; The formula is: subject + RISQUER (conjugated) + DE + INFINITIVE.,vocabulary
to be plagued by,en proie ('uhn-prwa'); e.g. Je suis en proie à tomber malade. = I am at risk of falling ill.,vocabulary
He never wants to go out.,Il NE veut JAMAIS sortir.; JAMAIS (adverb) replaces PAS (adverb) to express never (which is still negation).; Jamais is always an adverb.; NB: When JAMAIS is not paired with NE then it means ever (instead of never).,vocabulary
There are pears. + There are never pears.,Il y a DES poires. + Il n'y a jamais DE poires.; JAMAIS (adverb) replaces PAS (adverb) to express never (which is still negation).; Jamais is always an adverb so we generalize the object by replacing partitive articles with generic DE/D'.,vocabulary
I eat an insect. + I never eat an insect.,Je mange un insecte. + Je ne mange jamais d'insecte.; JAMAIS (adverb) replaces PAS (adverb) to express never (which is still negation).; Jamais is always an adverb so we generalize the object by replacing partitive articles with generic DE/D'.,vocabulary
She never went to Vietnam.,Elle N'est JAMAIS allée au Vietnam.; In passé composé (or any tense that uses an auxiliary) PAS/PLUS/RIEN/JAMAIS are placed directly after the auxiliary (the conjugated portion) and before the participe. PERSONNE is different in that it is placed directly after the participe.,vocabulary
She is going to go to Vietnam. + She is never going to go to Vietnam.,Elle va aller au Vietnam (futur proche can be directly translated from English). + Elle NE vas JAMAIS aller au Vietnam.; JAMAIS (adverb) replaces PAS (adverb) to express never (which is still negation).; au Vietnam is a prepositional phrase what is sheltered from the negation so we do not change AU to generic DE.; When there are two verbs (one conjugated + one infinitive) PAS/PLUS/JAMAIS (all adverbs) - and even RIEN - are placed directly after the conjugated verb. PERSONNE is a pronoun so it is placed directly after the final verb (the infinitive).;,vocabulary
They are always on time. + They are never on time.,Ils sont TOUJOURS à l'heure. + Ils NE sont JAMAIS à l'heure.; The inverse of toujours (always) is jamais (never).; JAMAIS (adverb) replaces PAS (adverb) to express never (which is still negation).; à l'heure is a prepositional phrase that is sheltered from the negation so we do not change À LA to generic DE.; NB: Jamais can also be the inverse of encore and déja.,vocabulary
Have you already lied to your parents? + I never lied to my parents.,As tu déjà menti à tes parents? + Je n'ai JAMAIS menti à mes parents.; The inverse of déjà (already) is jamais (never).; JAMAIS (adverb) replaces PAS (adverb) to express never (which is still negation); à mes parents.is a prepositional phrase that is sheltered from the negation so we do not change À to DE.; NB: Jamais can also be the inverse of toujours and encore.,vocabulary
no more / no longer; Specify the pronunciation.,non plus ('pleww'); S is silent because plus is used as an adverb here.; When PLUS is used as a negative adverb it means frequency of zero. It can replace PAS in the NE + PAS syntax. Use it when you want to negate a statement where the action has stopped.,vocabulary
me neither; Specify the pronunciation.,moi non plus ('pleww'); S is silent because plus is used as an adverb here.,vocabulary
I can eat. + I cannot eat more.,Je peux manger. + Je NE mange PLUS ('pleww').; S is silent because plus is used as an adverb here.; NE + PLUS (no more / no longer) is a negative adverb. PLUS replaces PAS in the NE + PAS syntax.; NE + PLUS (doing something no more / no longer) is the opposite of STILL going something.,vocabulary
He continues to sleep. + He sleeps no more.,Il continue de dormir. + Il NE dort PLUS ('pleww').; S is silent because plus is used as an adverb here.; NE + PLUS (no more / no longer) is a negative adverb. PLUS replaces PAS in the NE + PAS syntax.; NE + PLUS (doing something no more / no longer) is the opposite of STILL going something.,vocabulary
I still have money. + I do not have any more money.,J'ai encore DE L'argent. + Je N'ai PLUS D'argent.; NE + PLUS (no more / no longer) is a negative adverb. PLUS replaces PAS in the NE + PAS syntax.; In the first phrase the quantity is undefined so we must use partitive articles (de la). In the second phrase the quantity is negative (which is defined) so we must use generic DE.,vocabulary
In which scenarios is the word PLUS pronounced without the S ('pleww')?,Pronounce the S if you are uncertain. Consider the lack of an S-sound as an exception.; 1) ADVERB/ADJECTIVE: When plus is used as an adverb OR adjective - positively or negatively - it is pronounced 'pleww'. e.g. plus grand (= bigger) + plus vite (= faster) + non plus (= no longer).; 2) Negative quantity: Il n'y a plus ('pleww') de lumière. = There is no longer any light.; 3) A quantity with figures: Il y a plus ('pleww') de 500 euros.,pronunciation
In which scenarios is the word PLUS always pronounced with an S ('plewws')?,1) PLUS DE + NOM: Il y a plus de jupes.; 2) Addition: 3 + 7.; Pronounce the S if you are uncertain. Consider the lack of an S-sound as an exception.,pronunciation
I can eat apples. + I can eat more apples. + I cannot eat more apples.,Je peux manger DES pommes. + Je peux manger PLUS DE pommes. +  Je NE peux PAS manger PLUS DE pommes.; In this case PLUS is used in the positive sense (which creates a defined quantity using generic DE). In the last phrase we use NE + PAS to negate the verb.,vocabulary
I can eat 2 more apples. + I cannot eat 2 more apples.,Je peux manger deux pommes supplémentaires. + Je NE peux PAS manger deux pommes DE PLUS.; In this case PLUS is used in the positive sense (which creates a defined quantity using generic DE). In the last phrase we use NE + PAS to negate the verb.,vocabulary
We learn more things. + We learn more.,On apprend PLUS DE choses. + On EN apprend PLUS.; In the latter phrase we did not specify the object (what is learned). This is impossible in French. We must reference it with either 'plus DE choses' OR the pronom EN. Pronom EN replaces a quantity of something or the complement of a verb following DE.,vocabulary
to take a break + to not take a break,faire une pause + ne pas faire une pause; To negate an infinitive both NE and PAS are placed before the infinitive verb.; This is most commonly done when providing a definition.,verbs
I am happy to call. + I am happy to not call.,Je suis content(e) d'appeler. + Je suis content(e) de NE PAS appeler.; To negate an infinitive both NE and PAS are placed before the infinitive verb.,verbs
She takes a break. + She does not take a break.,Elle fait une pause. + Elle NE fait PAS une pause.; To negate a conjugated verb (not in the infinitive) separate NE and PAS on either side of the conjugated verb.,verbs
Using the formal you: Take a break! + Don't take a break!,Impératif mood: Faites une pause. + NE faites PAS de pause.; To negate a conjugated verb (not in the infinitive) separate NE and PAS on either side of the conjugated verb.,verbs
Explain how negation using an adverb is different from negation using an adjective.,PAS can be used as a negative adverb (to negate a verb) or as a negative adjective (to negate a noun - like aucun(e)).; Using PAS as a negative adverb: I do not see cats. = Je NE vois PAS DE chat. (When a negative adverb is used the quantity becomes defined so we must use generic DE.); Using PAS as a negative adjective: I see no cats. = Je NE vois PAS un chats. (The quantity is still undefined so we use partitive articles instead of generic DE.); NB: PAS should only be used as a negative adjective with nouns that can be quantified (e.g. cats). Use AUCUNE(E) for nouns that are difficult to quantify (e.g. happiness).,vocabulary
none,aucun(e) depending on the gender of the noun that it represents; AUCUN(E) can be used as a negative pronoun (on its own) or a negative adjective (modifying a noun).; NB: PAS can also be used as a negative adjective - but not as a negative pronoun.,vocabulary
None (of the characters) are nice.,AUCUN (des personnages) N'est gentil(le).; In this case AUCUN(E) is a negative pronoun (standing on its own). But we still need NE to complete the negation.; Because aucun(e) is not being used as an adverb we do not have to use generic DE - so we keep the partitive article (DES).,vocabulary
no/zero cats,aucun chats; In this case aucun(e) is being used as an adjective - not an adverb. So we do not have to use generic DE.,vocabulary
No answer is bad.,AUCUNE réponse N’est mauvaise.; In this case AUCUN(E) is a negative adjective. But we still need NE to complete the negation.; Aucun(e) is not an adverb so we do not have to add generic DE to the noun (answer).,vocabulary
No plane is flying today.,AUCUN avion NE vole aujourd’hui.; In this case AUCUN(E) is a negative adjective. But we still need NE to complete the negation.; Aucun(e) is not an adverb so we do not have to add generic DE to the noun (plane).,vocabulary
I did not make any mistakes.,Je N'ai fait AUCUNE faute.; In this case AUCUNE is a negative adjective (feminine to match une faute). But we still need NE to complete the negation.; Aucun(e) is not an adverb so we do not have to add generic DE to the noun (mistake).,vocabulary
I don’t know any lawyers.,Je NE connais AUCUN avocat.; In this case AUCUNE is a negative adjective (masculine to match un avocat - disregard singular/plural because aucun(e) is always singular). But we still need NE to complete the negation.; Aucun(e) is not an adverb so we do not have to add generic DE to the noun (avocats).,vocabulary
No vacations are too long.,PAS DE vacances NE sont (plural verb to match plural subject) trop longues.; When you really need to use a plural noun then you cannot use aucun(e) to replace or modify it because aucun(e) is always singular. So in this case use PAS DE + NE.; Alternatively: If you wanted to say... No vacation is too long. = Aucune vacance n'est trop longue. Then you could use aucun(e) because the noun referenced is singular.,vocabulary
I have no idea.,Je n'ai pas la moindre idée.; Alternative: Je n'en ai aucune idée.; In the latter phrase AUCUN(E) is a negative adjective (feminine to agree with une idée). But we still need NE to complete the negation.; Aucun(e) is not an adverb so we do not have to add generic DE to the noun (idée).,vocabulary
Explain how PERSONNE and RIEN are different from PAS and JAMAIS and PLUS (when negating a phrase).,PAS + JAMAIS + PLUS are all negative ADVERBS that are used (with NE) to negate a verb. But PERSONNE (no one) and RIEN (nothing) are negative PRONOUNS that mean quanity zero of humans (personne) or non-human things (rien). These pronouns simultaneously replace and negate a noun (not a verb). So PERSONNE and RIEN can be either the subject or object of the verb - but not an adverb.; NB: PAS can be used as a negative adverb or as a negative ADJECTIVE (like AUCUN(E)).,vocabulary
nothing,rien ('ray-uhn') +  is the negative pronoun that means the absence of a thing (quantity zero of something not human). This includes the absence of some action. Because RIEN is a pronoun it can act as the subject or object of a verb - but not as an adverb. e.g. There are no pears. = Il n'y a PAS de poires. You cannot say: Il n'y a rien de poires because REIN is not an adverb.; Rien (nothing) is the opposite of tout (everything).,vocabulary
Nothing is on the table.,RIEN N'est sur la table.; RIEN is a negative pronoun (so it is not replacing PAS - an adverb). But we still need NE to complete the negation.,vocabulary
Nothing pleases me. + Nothing bothers me.,RIEN NE me plaît. + RIEN NE me dérange; RIEN is a negative pronoun (so it is not replacing PAS - an adverb). But we still need NE to complete the negation.,vocabulary
Nothing make me angry.,Rien NE me met en colère.; RIEN is a negative pronoun. In this example it is being used as the subject of the verb.; Even though RIEN is a pronoun (instead of an adverb) we still need NE to complete the negation.,vocabulary
She said nothing.,Elle N'a RIEN dit.; RIEN is a negative pronoun (so it is not replacing PAS - an adverb). But in passé composé (or any tense that uses an auxiliary) RIEN (like adverbs PAS/PLUS/JAMAIS) is placed directly after the auxiliary (the conjugated portion) and before the participe. PERSONNE acts more like a true pronoun in that it is placed after the participe.,vocabulary
He's not going to say anything.,Il NE vas RIEN dire.; RIEN is a negative pronoun (so it is not replacing PAS - an adverb). But we still need NE to complete the negation.; When there are two verbs (one conjugated + one infinitive) RIEN (like adverbs PAS/PLUS/JAMAIS) is placed directly after the conjugated verb. PERSONNE is different in that it acts more like a true pronoun - placed directly after the final verb (the infinitive).,vocabulary
There is nothing to do.,Il N'y a rien à faire.; RIEN is a negative pronoun. In this example it is being used as the object of the verb. To describe the absence of an action: RIEN À + INFINITIVE; Even though RIEN is a pronoun (instead of an adverb) we still need NE to complete the negation.,vocabulary
I don't want to do anything anymore.,Je ne veux plus rien faire.; Combining PLUS (negative adverb meaning 'no more') with RIEN (negative pronoun meaning 'nothing') creates this sentiment.,vocabulary
nothing else,rien d'autre ('ray-uhn-doot'),vocabulary
There was nothing else. + There was only this.,Il N'y avait RIEN d'autre. + Il N'y avait QUE cela.; Even though we are not using a negative adverb (like PAS) in either case... we still need NE to complete the meaning of RIEN (a negative pronoun) and QUE (works with NE to mean 'only').,vocabulary
She heard everything. + She heard nothing.,Elle écoute tout. + Elle N'écoute RIEN.; RIEN is a negative pronoun (so it is not replacing PAS - an adverb). But we still need NE to complete the negation.; Rien (nothing) is the opposite of tout (everything).,vocabulary
We do not see anything.,On NE voit RIEN.; RIEN is a negative pronoun (so it is not replacing PAS - an adverb). But we still need NE to complete the negation.; Rien (nothing) is the opposite of tout (everything).,vocabulary
